[Point];[Position];[Force];[Time]
229;42.8;828.2836;T#0ms
230;42.81;831.4387;T#0ms
231;42.82;833.6518;T#0ms
232;42.83;837.0781;T#0ms
233;42.84;842.3365;T#0ms
234;42.85;845.3467;T#0ms
235;42.86;849.7775;T#0ms
236;42.87;852.0211;T#0ms
237;42.88;853.722;T#0ms
238;42.89;854.9108;T#0ms
239;42.9;856.3817;T#0ms
240;42.91;859.3919;T#0ms
241;42.92;863.332;T#0ms
242;42.93;865.8621;T#0ms
243;42.94;869.5004;T#0ms
244;42.95;873.8901;T#0ms
245;42.96;876.0284;T#0ms
246;42.97;878.4442;T#0ms
247;42.98;880.6162;T#0ms
248;42.99;882.3715;T#0ms
249;43.0;885.6688;T#0ms
250;43.01;889.5768;T#0ms
251;43.02;892.1847;T#0ms
252;43.03;894.9725;T#0ms
253;43.04;898.5817;T#0ms
254;43.05;901.4974;T#0ms
255;43.06;903.8919999999999;T#0ms
256;43.07;909.1535;T#0ms
257;43.08;911.3895;T#0ms
258;43.09;914.8051;T#0ms
259;43.1;916.1524;T#0ms
260;43.11;918.7689;T#0ms
261;43.12;922.9349;T#0ms
262;43.13;925.7912;T#0ms
263;43.14;929.3974;T#0ms
264;43.15;932.2476;T#0ms
265;43.16;934.1375;T#0ms
266;43.17;936.7589999999999;T#0ms
267;43.18;940.0635;T#0ms
268;43.19;941.9778;T#0ms
269;43.2;945.3097;T#0ms
270;43.21;946.5443;T#0ms
271;43.22;948.9402;T#0ms
272;43.23;952.801;T#0ms
273;43.24;955.5125;T#0ms
274;43.25;959.89;T#0ms
275;43.26;963.7166;T#0ms
276;43.27;967.7151;T#0ms
277;43.28;970.6035;T#0ms
278;43.29;974.0162;T#0ms
279;43.3;974.6426;T#0ms
280;43.31;975.3209;T#0ms
281;43.32;978.2854;T#0ms
282;43.33;980.2439999999999;T#0ms
283;43.34;982.9418;T#0ms
284;43.35;986.4627;T#0ms
285;43.36;989.825;T#0ms
286;43.37;992.1326;T#0ms
287;43.38;995.5558;T#0ms
288;43.39;997.7109;T#0ms
289;43.4;1001.0428;T#0ms
290;43.41;1006.071;T#0ms
291;43.42;1011.2731;T#0ms
292;43.43;1016.3517;T#0ms
293;43.44;1021.0949;T#0ms
294;43.45;1023.3706;T#0ms
295;43.46;1026.618;T#0ms
296;43.47;1029.947;T#0ms
297;43.48;1034.611;T#0ms
298;43.49;1038.325;T#0ms
299;43.5;1041.013;T#0ms
300;43.51;1044.772;T#0ms
301;43.52;1045.883;T#0ms
302;43.53;1049.968;T#0ms
303;43.54;1055.468;T#0ms
304;43.55;1060.4160000000002;T#0ms
305;43.56;1065.089;T#0ms
306;43.57;1070.7830000000001;T#0ms
307;43.58;1075.069;T#0ms
308;43.59;1078.172;T#0ms
309;43.6;1082.495;T#0ms
310;43.61;1086.714;T#0ms
311;43.62;1090.732;T#0ms
312;43.63;1096.127;T#0ms
313;43.64;1100.145;T#0ms
314;43.65;1104.243;T#0ms
315;43.66;1107.656;T#0ms
316;43.67;1111.076;T#0ms
317;43.68;1116.17;T#0ms
318;43.69;1122.729;T#0ms
319;43.7;1129.181;T#0ms
320;43.71;1133.9260000000002;T#0ms
321;43.72;1140.17;T#0ms
322;43.73;1144.969;T#0ms
323;43.74;1148.302;T#0ms
324;43.75;1153.8319999999999;T#0ms
325;43.76;1158.32;T#0ms
326;43.77;1163.526;T#0ms
327;43.78;1168.934;T#0ms
328;43.79;1174.317;T#0ms
329;43.8;1178.204;T#0ms
330;43.81;1182.847;T#0ms
331;43.82;1187.547;T#0ms
332;43.83;1193.894;T#0ms
333;43.84;1200.434;T#0ms
334;43.85;1206.947;T#0ms
335;43.86;1211.37;T#0ms
336;43.87;1215.397;T#0ms
337;43.88;1219.075;T#0ms
338;43.89;1222.372;T#0ms
339;43.9;1228.127;T#0ms
340;43.91;1234.21;T#0ms
341;43.92;1239.638;T#0ms
342;43.93;1246.234;T#0ms
343;43.94;1250.389;T#0ms
